part_number,part_description,category,file_name,memory_specification,encode_status,Product_id,product_id_validation
UCS-MR-X16G1RS-H,UCS-MR-X16G1RS-H 16GB DDR4-2666-MHz RDIMM/PC4-21300/single rank/x4/1.2v,memory,c240-sd-m5-specsheet.pdf,"{""capacity"": ""16GB"", ""speed"": ""2666"", ""ranks"": 1, ""rank_width"": ""4"", ""memory_type"": ""DDR4"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.2V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,16D4ER14266612S1,Valid
UCS-MR-X16G1RSHM,UCS-MR-X16G1RSHM 16GB DDR4-2666-MHz RDIMM/single rank/x4/1.2v. Micron only,memory,c240-sd-m5-specsheet.pdf,"{""capacity"": ""16GB"", ""speed"": ""2666"", ""ranks"": 1, ""rank_width"": ""4"", ""memory_type"": ""DDR4"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.2V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,16D4ER14266612S1,Valid
UCS-MR-X32G2RS-H,UCS-MR-X32G2RS-H 32GB DDR4-2666-MHz RDIMM/PC4-21300/dual rank/x4/1.2v ,memory,c240-sd-m5-specsheet.pdf,"{""capacity"": ""32GB"", ""speed"": ""2666"", ""ranks"": ""2"", ""rank_width"": ""4"", ""memory_type"": ""DDR4"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.2V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,32D4ER24266612S1,Valid
UCS-MR-X32G2RSHM,UCS-MR-X32G2RSHM 32GB DDR4-2666-MHz RDIMM/dual rank/x4/1.2v. Micron only,memory,c240-sd-m5-specsheet.pdf,"{""capacity"": ""32GB"", ""speed"": ""2666"", ""ranks"": ""2"", ""rank_width"": ""4"", ""memory_type"": ""DDR4"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.2V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,32D4ER24266612S1,Valid
UCS-MR-X32G2RSHS,UCS-MR-X32G2RSHS 32GB DDR4-2666-MHz RDIMM/dual rank/x4/1.2v. Samsung only,memory,c240-sd-m5-specsheet.pdf,"{""capacity"": ""32GB"", ""speed"": ""2666"", ""ranks"": ""2"", ""rank_width"": ""4"", ""memory_type"": ""DDR4"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.2V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,32D4ER24266612S1,Valid
UCSX-MRX16G1RE1,UCSX-MRX16G1RE1 16GB DDR5-4800 RDIMM 1Rx8 (16Gb) ,memory,x410cm7-specsheet.pdf,"{""capacity"": ""16GB"", ""speed"": ""4800"", ""ranks"": ""1"", ""rank_width"": ""8"", ""memory_type"": ""DDR5"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.1V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,16D5ER18480011S1,Valid
UCSX-MRX32G1RE1,UCSX-MRX32G1RE1 32GB DDR5-4800 RDIMM 1Rx4 (16Gb) ,memory,x410cm7-specsheet.pdf,"{""capacity"": ""32GB"", ""speed"": ""4800"", ""ranks"": ""1"", ""rank_width"": ""4"", ""memory_type"": ""DDR5"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.1V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,32D5ER14480011S1,Valid
UCSX-MRX64G2RE1,UCSX-MRX64G2RE1 64GB DDR5-4800 RDIMM 2Rx4 (16Gb) ,memory,x410cm7-specsheet.pdf,"{""capacity"": ""64GB"", ""speed"": ""4800"", ""ranks"": ""2"", ""rank_width"": ""4"", ""memory_type"": ""DDR5"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.1V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,64D5ER24480011S1,Valid
"UCSX-MRX96G2RF31,296GB","UCSX-MRX96G2RF31,296GB DDR5-5600 RDIMM 2Rx4 (24Gb) ",memory,x410cm7-specsheet.pdf,"{""capacity"": ""296GB"", ""speed"": ""5600"", ""ranks"": ""2"", ""rank_width"": ""4"", ""memory_type"": ""DDR5"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.1V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,296D5ER24560011S1,Valid
UCSX-MR128G4RE1,UCSX-MR128G4RE1 128GB DDR5-4800 RDIMM 4Rx4 (16Gb) ,memory,x410cm7-specsheet.pdf,"{""capacity"": ""128GB"", ""speed"": ""4800"", ""ranks"": ""4"", ""rank_width"": ""4"", ""memory_type"": ""DDR5"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.1V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,128D5ER44480011S1,Valid
UCSX-MR256G8RE1,UCSX-MR256G8RE1 256GB DDR5-4800 RDIMM 8Rx4 (16Gb) ,memory,x410cm7-specsheet.pdf,"{""capacity"": ""256GB"", ""speed"": ""4800"", ""ranks"": ""8"", ""rank_width"": ""4"", ""memory_type"": ""DDR5"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.1V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,256D5ER84480011S1,Valid
UCS-MR-1X162RY-A,UCS-MR-1X162RY-A 16 GB DDR3-1600-MHz RDIMM/PC3-12800/2R/x4/1.35v 1.5/1.35 V12 ,memory,c220m3-lff-specsheet.pdf,"{""capacity"": ""16GB"", ""speed"": ""1600"", ""ranks"": ""2"", ""rank_width"": ""4"", ""memory_type"": ""DDR3"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.5V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,16D3ER24160015S1,Valid
UCS-MR-1X162RZ-A,UCS-MR-1X162RZ-A 16 GB DDR3-1866-MHz RDIMM PC3-14900/2R/x4/ 1.5 V 2 ,memory,c220m3-lff-specsheet.pdf,"{""capacity"": ""16GB"", ""speed"": ""1866"", ""ranks"": ""2"", ""rank_width"": ""4"", ""memory_type"": ""DDR3"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.5V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,16D3ER24186615S1,Valid
UCS-MR-1X082RY-A,UCS-MR-1X082RY-A 8 GB DDR3-1600-MHz RDIMM/PC3-12800/2R/x4/1.35v 1.5/1.35 V12 ,memory,c220m3-lff-specsheet.pdf,"{""capacity"": ""8GB"", ""speed"": ""1600"", ""ranks"": ""2"", ""rank_width"": ""4"", ""memory_type"": ""DDR3"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.5V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,8D3ER24160015S1,Valid
UCS-MR-1X041RX-A,UCS-MR-1X041RX-A 4 GB DDR3-1333-MHz RDIMM/PC3-10600/1R/x4/1.35V 1.35v 1 ,memory,c220m3-lff-specsheet.pdf,"{""capacity"": ""4GB"", ""speed"": ""1333"", ""ranks"": ""1"", ""rank_width"": ""4"", ""memory_type"": ""DDR3"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.5V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,4D3ER14133315S1,Valid
UCS-MR-1X041RY-A,UCS-MR-1X041RY-A 4 GB DDR3-1600-MHz RDIMM/PC3-12800/1R/x4/1.35V 1.5/1.35 V 1 ,memory,c220m3-lff-specsheet.pdf,"{""capacity"": ""4GB"", ""speed"": ""1600"", ""ranks"": ""1"", ""rank_width"": ""4"", ""memory_type"": ""DDR3"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.5V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,4D3ER14160015S1,Valid
UCS-MR-1X082RX-A,UCS-MR-1X082RX-A 8 GB DDR3-1333-MHz RDIMM/PC3-10600/2R/x4/1.35V 1.5/1.35 V 2 ,memory,c220m3-lff-specsheet.pdf,"{""capacity"": ""8GB"", ""speed"": ""1333"", ""ranks"": ""2"", ""rank_width"": ""4"", ""memory_type"": ""DDR3"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.5V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,8D3ER24133315S1,Valid
UCS-MR-1X082RZ-A,UCS-MR-1X082RZ-A 8 GB DDR3-1866-MHz RDIMM/PC3-14900/2R/x4/1.5 1.5 V 2 ,memory,c220m3-lff-specsheet.pdf,"{""capacity"": ""8GB"", ""speed"": ""1866"", ""ranks"": ""2"", ""rank_width"": ""4"", ""memory_type"": ""DDR3"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.5V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,8D3ER24186615S1,Valid
UCS-MR-1X322RU-G,UCS-MR-1X322RU-G 1 Notes . . . 1. 2133MHz and 2400MHz are interchangeable and can be mixed in the same server.32 GB DDR4-2133/2400-MHz RDIMM/2R/x4/1.2v 1.2 2 ,memory,c460m4_specsheet.pdf,"{""capacity"": ""32GB"", ""speed"": ""2133"", ""ranks"": ""2"", ""rank_width"": ""4"", ""memory_type"": ""DDR4"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.2V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,32D4ER24213312S1,Valid
UCS-MR-1X161RV-G,UCS-MR-1X161RV-G 16 GB DDR4-2133MHz/2400-MHz RDIMM/single rank/x4/1.2v 1.2 1 ,memory,c460m4_specsheet.pdf,"{""capacity"": ""16GB"", ""speed"": ""2133"", ""ranks"": 1, ""rank_width"": ""4"", ""memory_type"": ""DDR4"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.2V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,16D4ER14213312S1,Valid
UCS-MR-1X162RU-G,UCS-MR-1X162RU-G 16 GB DDR4-2133/2400 MHz RDIMM/2R/x4/1.2v 1.2 2 ,memory,c460m4_specsheet.pdf,"{""capacity"": ""16GB"", ""speed"": ""2133"", ""ranks"": ""2"", ""rank_width"": ""4"", ""memory_type"": ""DDR4"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.2V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,16D4ER24213312S1,Valid
UCS-MR-1X081RU-G,UCS-MR-1X081RU-G 8 GB DDR4-2133/2400 MHz RDIMM/1R/x4/1.2v 1.2 1 ,memory,c460m4_specsheet.pdf,"{""capacity"": ""8GB"", ""speed"": ""2133"", ""ranks"": ""1"", ""rank_width"": ""4"", ""memory_type"": ""DDR4"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.2V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,8D4ER14213312S1,Valid
UCS-MR-1X081RU-G,UCS-MR-1X081RU-G 8 GB DDR4-2133/2400 MHz RDIMM/1R/x4/1.2v 1.2 1,memory,c460m4_specsheet.pdf,"{""capacity"": ""8GB"", ""speed"": ""2133"", ""ranks"": ""1"", ""rank_width"": ""4"", ""memory_type"": ""DDR4"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.2V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,8D4ER14213312S1,Valid
UCS-MR-1X161RV-G,UCS-MR-1X161RV-G 16GB DDR4-2133MHz/2400-MHz RDIMM/single rank/x4/1.2v,memory,c460m4_specsheet.pdf,"{""capacity"": ""16GB"", ""speed"": ""2133"", ""ranks"": 1, ""rank_width"": ""4"", ""memory_type"": ""DDR4"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.2V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,16D4ER14213312S1,Valid
UCS-MR-1X162RU-G,UCS-MR-1X162RU-G 16 GB DDR4-2133/2400 MHz RDIMM/2R/x4/1.2v 1.2 2,memory,c460m4_specsheet.pdf,"{""capacity"": ""16GB"", ""speed"": ""2133"", ""ranks"": ""2"", ""rank_width"": ""4"", ""memory_type"": ""DDR4"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.2V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,16D4ER24213312S1,Valid
UCS-MR-1X162RV-A,UCS-MR-1X162RV-A 16GB DDR4-2400-MHz RDIMM/PC4-19200/dual rank/x4/1.2v,memory,c460m4_specsheet.pdf,"{""capacity"": ""16GB"", ""speed"": ""2400"", ""ranks"": ""2"", ""rank_width"": ""4"", ""memory_type"": ""DDR4"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.2V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,16D4ER24240012S1,Valid
UCS-MR-1X322RU-G,UCS-MR-1X322RU-G 32 GB DDR4-2133/2400-MHz RDIMM/2R/x4/1.2v 1.2 2,memory,c460m4_specsheet.pdf,"{""capacity"": ""32GB"", ""speed"": ""2133"", ""ranks"": ""2"", ""rank_width"": ""4"", ""memory_type"": ""DDR4"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.2V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,32D4ER24213312S1,Valid
UCS-MR-1X322RUG-S,UCS-MR-1X322RUG-S 32GB DDR4-2133-MHz RDIMM/PC4-17000/dual rank/x4/1.2v Samsung,memory,c460m4_specsheet.pdf,"{""capacity"": ""32GB"", ""speed"": ""2133"", ""ranks"": ""2"", ""rank_width"": ""4"", ""memory_type"": ""DDR4"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.2V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,32D4ER24213312S1,Valid
UCS-MR-1X041RY-A,UCS-MR-1X041RY-A 4GB DDR3-1600-MHz RDIMM/PC3-12800/1R/dual voltage 1.35/1.5 V 1 ,memory,spec_sheet_c17-644230.pdf,"{""capacity"": ""4GB"", ""speed"": ""1600"", ""ranks"": ""1"", ""rank_width"": ""2"", ""memory_type"": ""DDR3"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.5V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,4D3ER12160015S1,Valid
UCS-MR-1X082RY-A,UCS-MR-1X082RY-A 8GB DDR3-1600-MHz RDIMM/PC3-12800/2R/x4/dual voltage 1.35/1.5 V 2 ,memory,spec_sheet_c17-644230.pdf,"{""capacity"": ""8GB"", ""speed"": ""1600"", ""ranks"": ""2"", ""rank_width"": ""4"", ""memory_type"": ""DDR3"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.5V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,8D3ER24160015S1,Valid
UCS-MR-1X162RY-A,UCS-MR-1X162RY-A 16GB DDR3-1600-MHz RDIMM/PC3-12800/2R/x4/1.5v 1.35/1.5 V 4 ,memory,spec_sheet_c17-644230.pdf,"{""capacity"": ""16GB"", ""speed"": ""1600"", ""ranks"": ""2"", ""rank_width"": ""4"", ""memory_type"": ""DDR3"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.5V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,16D3ER24160015S1,Valid
UCS-MRX16G1RE1,UCS-MRX16G1RE1 16GB DDR5-4800 RDIMM 1Rx8 (16Gb) ,memory,c220m7-sff-specsheet.pdf,"{""capacity"": ""16GB"", ""speed"": ""4800"", ""ranks"": ""1"", ""rank_width"": ""8"", ""memory_type"": ""DDR5"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.1V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,16D5ER18480011S1,Valid
UCS-MRX32G1RE1,UCS-MRX32G1RE1 32GB DDR5-4800 RDIMM 1Rx4 (16Gb) ,memory,c220m7-sff-specsheet.pdf,"{""capacity"": ""32GB"", ""speed"": ""4800"", ""ranks"": ""1"", ""rank_width"": ""4"", ""memory_type"": ""DDR5"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.1V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,32D5ER14480011S1,Valid
UCS-MRX64G2RE1,UCS-MRX64G2RE1 64GB DDR5-4800 RDIMM 2Rx4 (16Gb) ,memory,c220m7-sff-specsheet.pdf,"{""capacity"": ""64GB"", ""speed"": ""4800"", ""ranks"": ""2"", ""rank_width"": ""4"", ""memory_type"": ""DDR5"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.1V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,64D5ER24480011S1,Valid
UCS-MR128G4RE1,UCS-MR128G4RE1 128GB DDR5-4800 RDIMM 4Rx4 (16Gb) DDR5-5600MT/s PID list1 Notes: 1. DDR5-5600 supported on Intel Xeon 5th gen. CPUs only.,memory,c220m7-sff-specsheet.pdf,"{""capacity"": ""128GB"", ""speed"": ""4800"", ""ranks"": ""4"", ""rank_width"": ""4"", ""memory_type"": ""DDR5"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.1V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,128D5ER44480011S1,Valid
UCS-MRX16G1RE3,UCS-MRX16G1RE3 16GB DDR5-5600 RDIMM 1Rx8 (16Gb) ,memory,c220m7-sff-specsheet.pdf,"{""capacity"": ""16GB"", ""speed"": ""5600"", ""ranks"": ""1"", ""rank_width"": ""8"", ""memory_type"": ""DDR5"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.1V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,16D5ER18560011S1,Valid
UCS-MRX32G1RE3,UCS-MRX32G1RE3 32GB DDR5-5600 RDIMM 1Rx4 (16Gb) ,memory,c220m7-sff-specsheet.pdf,"{""capacity"": ""32GB"", ""speed"": ""5600"", ""ranks"": ""1"", ""rank_width"": ""4"", ""memory_type"": ""DDR5"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.1V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,32D5ER14560011S1,Valid
UCS-MRX64G2RE3,UCS-MRX64G2RE3 64GB DDR5-5600 RDIMM 2Rx4 (16Gb) ,memory,c220m7-sff-specsheet.pdf,"{""capacity"": ""64GB"", ""speed"": ""5600"", ""ranks"": ""2"", ""rank_width"": ""4"", ""memory_type"": ""DDR5"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.1V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,64D5ER24560011S1,Valid
UCS-MRX96G2RF3,UCS-MRX96G2RF3 96GB DDR5-5600 RDIMM 2Rx4 (24Gb) ,memory,c220m7-sff-specsheet.pdf,"{""capacity"": ""96GB"", ""speed"": ""5600"", ""ranks"": ""2"", ""rank_width"": ""4"", ""memory_type"": ""DDR5"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.1V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,96D5ER24560011S1,Valid
UCS-MR128G4RE3,UCS-MR128G4RE3 128GB DDR5-5600 RDIMM 4Rx4 (16Gb) ,memory,c220m7-sff-specsheet.pdf,"{""capacity"": ""128GB"", ""speed"": ""5600"", ""ranks"": ""4"", ""rank_width"": ""4"", ""memory_type"": ""DDR5"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.1V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,128D5ER44560011S1,Valid
UCS-MRX16G1RE1=,UCS-MRX16G1RE1= 16GB DDR5-4800 RDIMM 1Rx8 (16Gb) ,memory,c220m7-sff-specsheet.pdf,"{""capacity"": ""16GB"", ""speed"": ""4800"", ""ranks"": ""1"", ""rank_width"": ""8"", ""memory_type"": ""DDR5"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.1V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,16D5ER18480011S1,Valid
UCS-MRX32G1RE1=,UCS-MRX32G1RE1= 32GB DDR5-4800 RDIMM 1Rx4 (16Gb) ,memory,c220m7-sff-specsheet.pdf,"{""capacity"": ""32GB"", ""speed"": ""4800"", ""ranks"": ""1"", ""rank_width"": ""4"", ""memory_type"": ""DDR5"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.1V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,32D5ER14480011S1,Valid
UCS-MRX64G2RE1=,UCS-MRX64G2RE1= 64GB DDR5-4800 RDIMM 2Rx4 (16Gb) ,memory,c220m7-sff-specsheet.pdf,"{""capacity"": ""64GB"", ""speed"": ""4800"", ""ranks"": ""2"", ""rank_width"": ""4"", ""memory_type"": ""DDR5"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.1V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,64D5ER24480011S1,Valid
UCS-MR128G4RE1=,UCS-MR128G4RE1= 128GB DDR5-4800 RDIMM 4Rx4 (16Gb) ,memory,c220m7-sff-specsheet.pdf,"{""capacity"": ""128GB"", ""speed"": ""4800"", ""ranks"": ""4"", ""rank_width"": ""4"", ""memory_type"": ""DDR5"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.1V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,128D5ER44480011S1,Valid
UCS-MRX16G1RE3=,UCS-MRX16G1RE3= 16GB DDR5-5600 RDIMM 1Rx8 (16Gb) ,memory,c220m7-sff-specsheet.pdf,"{""capacity"": ""16GB"", ""speed"": ""5600"", ""ranks"": ""1"", ""rank_width"": ""8"", ""memory_type"": ""DDR5"", ""dimm_type"": ""RDIMM"", ""ecc"": ""ECC"", ""voltage"": ""1.1V"", ""height"": ""STD"", ""qty"": ""1""}",is_encoded,16D5ER18560011S1,Valid
